codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_direcao,vento_vel, vento_rajada,radiacao,precipitacao
A505,17/03/2014,00,22.6,23.3,22.6,54,54,51,12.9,12.9,12.6,901.6,901.6,900.6,3.5,94,6.4,-3.54,0.0
A505,17/03/2014,01,22.4,22.6,22.1,55,56,54,12.8,13.0,12.8,902.1,902.1,901.6,2.5,113,5.5,-3.54,0.0
A505,17/03/2014,02,21.5,22.4,21.5,58,58,55,13.0,13.0,12.8,901.9,902.2,901.9,2.7,117,3.9,-3.54,0.0
A505,17/03/2014,03,21.1,21.6,21.1,60,60,58,13.0,13.1,13.0,901.6,902.0,901.6,3.0,104,4.7,-3.54,0.0
A505,17/03/2014,04,20.8,21.1,20.6,62,62,60,13.1,13.1,13.0,901.2,901.6,901.2,3.4,113,5.0,-3.54,0.0
A505,17/03/2014,05,20.2,20.9,20.2,65,65,61,13.3,13.3,13.1,901.0,901.2,901.0,2.6,102,5.1,-3.54,0.0
A505,17/03/2014,06,19.6,20.2,19.6,68,68,65,13.5,13.5,13.3,900.5,901.0,900.5,2.8,86,4.5,-3.54,0.0
A505,17/03/2014,07,19.2,19.6,19.1,69,69,68,13.4,13.5,13.4,900.7,900.8,900.5,2.8,97,4.6,-3.54,0.0
A505,17/03/2014,08,19.0,19.2,18.9,70,70,68,13.3,13.4,13.3,901.1,901.1,900.7,3.1,110,5.0,-3.54,0.0
A505,17/03/2014,09,19.0,19.3,19.0,70,70,69,13.4,13.4,13.3,901.6,901.6,901.1,3.2,109,5.6,-3.54,0.0
A505,17/03/2014,10,19.8,19.8,18.8,68,71,68,13.7,13.7,13.4,902.2,902.2,901.6,3.1,100,5.5,92.41,0.0
A505,17/03/2014,11,21.8,21.9,19.8,62,68,62,14.4,14.4,13.7,902.9,902.9,902.3,3.5,89,6.0,655.6,0.0
A505,17/03/2014,12,24.0,24.0,21.8,58,63,58,15.3,15.6,14.3,903.9,903.9,902.9,2.7,78,7.0,1780.,0.0
A505,17/03/2014,13,25.7,26.0,24.0,52,58,51,15.1,15.8,14.7,904.0,904.0,903.9,3.3,41,6.4,2433.,0.0
