@relation inmet_araxa-weka.filters.unsupervised.attribute.Remove-R1

@attribute umid_inst numeric
@attribute pressao numeric
@attribute vento_direcao numeric
@attribute vento_vel numeric
@attribute radiacao numeric
@attribute classe {Frio,Normal,Quente}

@data
54,901.6,3.5,94,-3.54,Normal
55,902.1,2.5,113,-3.54,Normal
58,901.9,2.7,117,-3.54,Normal
60,901.6,3,104,-3.54,Normal
62,901.2,3.4,113,-3.54,Normal
65,901,2.6,102,-3.54,Normal
68,900.5,2.8,86,-3.54,Normal
69,900.7,2.8,97,-3.54,Normal
70,901.1,3.1,110,-3.54,Normal
70,901.6,3.2,109,-3.54,Normal
68,902.2,3.1,100,92.41,Normal
62,902.9,3.5,89,655.6,Normal
58,903.9,2.7,78,1780,Normal
52,904,3.3,41,2433,Quente
51,903.8,4.1,13,3176,Quente
53,903.4,2.8,13,3025,Quente
47,902.6,1.5,321,1921,Quente
46,901.8,1.9,47,2375,Quente
42,900.9,1.5,360,2829,Quente
46,900.3,1.7,40,1029,Quente
43,899.6,1.2,207,1564,Quente
51,900.1,1,269,548.9,Quente
53,900.5,0,34,5.264,Quente
59,901.5,2.7,97,-3.54,Normal
63,902.3,2.7,97,-3.54,Normal
65,902.6,2.3,108,-3.54,Normal
66,902.8,1.7,119,-3.54,Normal
72,902.3,0.4,355,-3.54,Normal
72,901.8,1,144,-3.4,Normal
70,901.4,1,116,-3.48,Normal
71,901.1,0.4,35,-3.54,Normal
80,901.4,0.1,325,-3.53,Normal
74,902,0.3,84,-3.53,Normal
75,902.6,0,114,-3.54,Normal
77,903,0.4,183,54.44,Normal
71,903.6,0.1,76,360.2,Normal
69,904.1,1.9,353,808.7,Normal
67,904.4,2.5,295,1557,Normal
63,904.2,1,305,2350,Quente
58,903.3,3.3,300,2927,Quente
50,902.5,2.2,303,3232,Quente
53,901.3,2.8,353,2795,Quente
61,901.5,1.9,348,928.5,Quente
94,901.9,0.6,261,39.14,Frio
94,901.7,1.2,169,58.88,Normal
85,901.7,1.4,151,126.9,Normal
90,901.8,3,226,21.21,Normal
84,901.4,2.3,120,-2.13,Normal
85,901.8,1.2,166,-3.17,Normal
91,902.6,0.8,265,-3.54,Frio
91,902.6,1.7,211,-3.53,Frio
84,902.5,0.7,210,-3.08,Normal
78,902.1,1,164,-3.53,Normal
80,901.4,1.6,133,-3.54,Normal
78,901.3,0,44,-3.54,Frio
89,901.3,0.7,301,-3.53,Frio
86,901.3,0,131,-3.54,Frio
84,901.8,0.1,176,-3.54,Frio
83,902.3,0.7,204,92.99,Frio
72,902.8,1.7,68,672.8,Normal
70,902.9,1.8,92,929.4,Normal
62,902.8,2.4,68,2365,Normal
55,902.4,2.8,74,3058,Quente
49,901.6,2.3,39,3475,Quente
46,900.7,1.6,338,2639,Quente
44,899.8,2,339,3504,Quente
46,899,1.6,31,2880,Quente
42,898.5,2.2,318,1861,Quente
47,898.2,2.3,348,1235,Quente
59,898.3,2.4,299,533.3,Quente
66,899,2.5,132,23.87,Normal
70,899.7,4,116,-3.54,Normal
73,900.6,3.6,115,-3.54,Normal
70,901.2,0.4,143,-3.54,Normal
69,901.1,0,153,-3.53,Normal
