@relation inmet_araxa-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R2

@attribute umid_inst numeric
@attribute vento_direcao numeric
@attribute vento_vel numeric
@attribute radiacao numeric
@attribute classe {Frio,Normal,Quente}

@data
54,3.5,94,-3.54,Normal
55,2.5,113,-3.54,Normal
58,2.7,117,-3.54,Normal
60,3,104,-3.54,Normal
62,3.4,113,-3.54,Normal
65,2.6,102,-3.54,Normal
68,2.8,86,-3.54,Normal
69,2.8,97,-3.54,Normal
70,3.1,110,-3.54,Normal
70,3.2,109,-3.54,Normal
68,3.1,100,92.41,Normal
62,3.5,89,655.6,Normal
58,2.7,78,1780,Normal
52,3.3,41,2433,Quente
51,4.1,13,3176,Quente
53,2.8,13,3025,Quente
47,1.5,321,1921,Quente
46,1.9,47,2375,Quente
42,1.5,360,2829,Quente
46,1.7,40,1029,Quente
43,1.2,207,1564,Quente
51,1,269,548.9,Quente
53,0,34,5.264,Quente
59,2.7,97,-3.54,Normal
63,2.7,97,-3.54,Normal
65,2.3,108,-3.54,Normal
66,1.7,119,-3.54,Normal
72,0.4,355,-3.54,Normal
72,1,144,-3.4,Normal
70,1,116,-3.48,Normal
71,0.4,35,-3.54,Normal
80,0.1,325,-3.53,Normal
74,0.3,84,-3.53,Normal
75,0,114,-3.54,Normal
77,0.4,183,54.44,Normal
71,0.1,76,360.2,Normal
69,1.9,353,808.7,Normal
67,2.5,295,1557,Normal
63,1,305,2350,Quente
58,3.3,300,2927,Quente
50,2.2,303,3232,Quente
53,2.8,353,2795,Quente
61,1.9,348,928.5,Quente
94,0.6,261,39.14,Frio
94,1.2,169,58.88,Normal
85,1.4,151,126.9,Normal
90,3,226,21.21,Normal
84,2.3,120,-2.13,Normal
85,1.2,166,-3.17,Normal
91,0.8,265,-3.54,Frio
91,1.7,211,-3.53,Frio
84,0.7,210,-3.08,Normal
78,1,164,-3.53,Normal
80,1.6,133,-3.54,Normal
78,0,44,-3.54,Frio
89,0.7,301,-3.53,Frio
86,0,131,-3.54,Frio
84,0.1,176,-3.54,Frio
83,0.7,204,92.99,Frio
72,1.7,68,672.8,Normal
70,1.8,92,929.4,Normal
62,2.4,68,2365,Normal
55,2.8,74,3058,Quente
49,2.3,39,3475,Quente
46,1.6,338,2639,Quente
44,2,339,3504,Quente
46,1.6,31,2880,Quente
42,2.2,318,1861,Quente
47,2.3,348,1235,Quente
59,2.4,299,533.3,Quente
66,2.5,132,23.87,Normal
70,4,116,-3.54,Normal
73,3.6,115,-3.54,Normal
70,0.4,143,-3.54,Normal
69,0,153,-3.53,Normal
66,0.6,90,-3.38,Normal
72,0.1,129,-3.09,Normal
74,0,45,-3.41,Normal
76,0,139,-3.51,Normal
71,1.2,88,-3.54,Normal
75,1.3,124,-3.54,Normal
77,0.6,118,-3.54,Normal
75,1.4,62,83.25,Normal
67,1.9,55,622.8,Normal
60,2.5,35,1552,Normal
56,2.2,329,2410,Quente
50,2.2,19,3061,Quente
48,3.3,343,3076,Quente
47,3.2,323,3135,Quente
40,2.6,340,3452,Quente
50,2.5,275,1498,Quente
46,2.4,284,1746,Quente
47,1.7,334,1188,Quente
56,2.4,336,247.3,Quente
54,1.8,28,2.903,Quente
69,1.3,191,-3.47,Normal
92,4.7,182,-2.68,Normal
83,2.7,141,-3.18,Normal
86,2.2,196,-1.65,Normal
84,0.1,177,-1.17,Normal
86,0.2,349,-2.4,Normal
86,0,132,-2.35,Normal
87,2.4,200,-1.94,Normal
85,2.2,201,-2.75,Normal
90,3.3,279,-0.99,Normal
90,1.4,181,-2.8,Normal
91,0.1,324,22.59,Normal
86,0,312,282.1,Normal
81,0.9,250,832.3,Normal
70,0.8,5,1736,Normal
65,1.9,46,2961,Quente
62,2.5,304,2951,Quente
59,3.3,344,3039,Quente
55,2.8,311,2459,Quente
53,3.7,282,2176,Quente
