@relation 'estacao'

@attribute umidade real
@attribute velocidade_vento real
@attribute chuva real
@attribute radicao_solar real
@attribute et real
@attribute classe {Frio,Normal,Quente}
 
@data

93,1.3,0.00,0,0.00,Frio
92,1.3,0.00,0,0.00,Frio
93,1.3,0.00,0,0.00,Frio
96,1.3,0.00,0,0.00,Frio
97,1.3,0.00,0,0.00,Frio
97,0.9,0.00,0,0.00,Frio
98,0.0,0.00,6,0.00,Frio
95,0.9,0.00,132,0.08,Frio
89,1.8,0.00,345,0.18,Frio
80,0.9,0.00,587,0.28,Frio
75,0.9,0.00,648,0.33,Normal
61,0.9,0.00,752,0.41,Normal
56,1.3,0.00,670,0.41,Normal
46,1.3,0.00,605,0.38,Normal
50,0.9,0.00,416,0.28,Normal
50,0.9,0.00,192,0.15,Normal
53,0.0,0.00,82,0.05,Normal
72,0.0,0.00,10,0.03,Normal
82,0.0,0.00,0,0.03,Normal
85,0.4,0.00,0,0.03,Frio
87,0.4,0.00,0,0.03,Frio
87,0.4,0.00,0,0.00,Frio
88,0.9,0.00,0,0.03,Frio
90,1.3,0.00,0,0.00,Frio
86,2.2,0.00,0,0.03,Frio
88,1.8,0.00,0,0.03,Frio
88,2.2,0.00,0,0.03,Frio
87,1.8,0.00,0,0.03,Frio
92,1.3,0.00,0,0.03,Frio
93,1.3,0.00,0,0.00,Frio
95,0.9,0.00,7,0.00,Frio
87,1.3,0.00,138,0.08,Frio
78,1.8,0.00,347,0.20,Frio
68,2.7,0.00,512,0.30,Normal
63,3.1,0.00,644,0.41,Normal
57,3.1,0.00,736,0.48,Normal
47,3.1,0.00,694,0.48,Normal
48,2.7,0.00,624,0.43,Normal
52,2.7,0.00,503,0.36,Normal
52,2.2,0.00,329,0.25,Normal
59,2.2,0.00,130,0.13,Normal
72,0.9,0.00,12,0.03,Normal
82,0.9,0.00,0,0.03,Frio
83,0.9,0.00,0,0.03,Frio
85,0.9,0.00,0,0.03,Frio
81,1.3,0.00,0,0.03,Frio
76,1.3,0.00,0,0.03,Frio
76,2.2,0.00,0,0.03,Frio
80,2.2,0.00,0,0.03,Frio
84,2.2,0.00,0,0.03,Frio
81,3.1,0.00,0,0.03,Frio
83,3.1,0.00,0,0.03,Frio
87,2.7,0.00,0,0.03,Frio
87,3.1,0.00,0,0.03,Frio
87,2.7,0.00,7,0.03,Frio
83,3.1,0.00,132,0.08,Frio
76,3.6,0.00,339,0.20,Frio
69,4.0,0.00,510,0.33,Frio
65,4.0,0.00,630,0.41,Frio
58,3.1,0.00,688,0.43,Normal
55,3.6,0.00,685,0.46,Normal
45,2.7,0.00,620,0.43,Normal
45,3.1,0.00,500,0.38,Normal
48,2.7,0.00,333,0.28,Normal
56,2.2,0.00,130,0.13,Normal
66,1.3,0.00,9,0.03,Normal
78,0.4,0.00,0,0.03,Frio
84,0.9,0.00,0,0.03,Frio
84,0.9,0.00,0,0.03,Frio
