@relation estacao-weka.filters.unsupervised.attribute.Remove-R2-3

@attribute umidade numeric
@attribute radicao_solar numeric
@attribute et numeric
@attribute classe {Frio,Normal,Quente}

@data
89,0,0.03,Frio
89,0,0,Frio
94,0,0,Frio
95,0,0,Frio
94,0,0,Frio
94,0,0,Frio
97,10,0,Frio
77,166,0.08,Frio
68,360,0.23,Normal
60,530,0.33,Normal
58,647,0.41,Normal
63,634,0.41,Normal
53,679,0.41,Normal
52,656,0.43,Quente
55,438,0.3,Quente
48,324,0.23,Quente
51,159,0.1,Quente
75,15,0.03,Normal
84,0,0.03,Normal
93,0,0,Frio
88,0,0,Frio
86,0,0,Frio
88,0,0,Frio
89,0,0,Frio
89,0,0,Frio
92,0,0,Frio
94,0,0,Frio
92,0,0,Frio
97,0,0,Frio
100,0,0,Frio
99,7,0,Frio
92,73,0.05,Frio
87,354,0.2,Normal
79,517,0.3,Normal
76,634,0.38,Normal
69,709,0.46,Normal
66,702,0.46,Normal
54,651,0.41,Quente
52,525,0.36,Quente
52,392,0.28,Quente
57,162,0.13,Quente
72,13,0.03,Normal
77,0,0.03,Normal
81,0,0.03,Normal
91,0,0,Frio
91,0,0,Frio
94,0,0,Frio
95,0,0,Frio
91,0,0,Frio
84,0,0,Frio
90,0,0,Frio
90,0,0,Frio
95,0,0,Frio
95,0,0,Frio
97,10,0,Frio
82,151,0.08,Normal
74,360,0.23,Normal
70,430,0.28,Normal
67,621,0.41,Normal
55,685,0.46,Quente
58,781,0.51,Quente
59,363,0.25,Quente
58,192,0.18,Quente
56,221,0.15,Quente
58,152,0.1,Quente
72,8,0.03,Quente
80,0,0.03,Normal
84,0,0.03,Normal
92,0,0,Frio
83,0,0,Frio
84,0,0.03,Frio
89,0,0,Frio
88,0,0,Frio
88,0,0,Frio
90,0,0,Frio
92,0,0,Frio
82,0,0,Frio
82,0,0.03,Frio
86,9,0,Frio
85,63,0.03,Frio
77,182,0.1,Normal
65,490,0.3,Normal
61,628,0.41,Normal
53,693,0.46,Quente
49,704,0.48,Quente
43,650,0.46,Quente
43,451,0.3,Quente
43,352,0.25,Quente
47,160,0.13,Quente
64,16,0.03,Quente
69,0,0.03,Normal
71,0,0.03,Normal
72,0,0.03,Frio
75,0,0.03,Frio
72,0,0.03,Frio
73,0,0.03,Frio
79,0,0.03,Frio
79,0,0.03,Frio
83,0,0.03,Frio
84,0,0.03,Frio
90,0,0,Frio
86,0,0,Frio
90,9,0,Frio
75,159,0.08,Normal
70,357,0.2,Normal
64,523,0.33,Normal
60,643,0.41,Normal
59,718,0.46,Normal
51,651,0.41,Normal
52,655,0.43,Normal
57,395,0.28,Normal
54,342,0.23,Normal
63,119,0.08,Normal
76,12,0.03,Normal
77,0,0.03,Normal
74,0,0.03,Normal
78,0,0.03,Normal
75,0,0.03,Normal
84,0,0.03,Frio
79,0,0.03,Frio
80,0,0.03,Frio
82,0,0.03,Frio
89,0,0,Frio
89,0,0,Frio
81,0,0.03,Frio
82,0,0.03,Frio
83,8,0,Frio
72,159,0.1,Normal
67,351,0.23,Normal
59,519,0.33,Normal
51,641,0.43,Normal
52,704,0.51,Normal
49,702,0.48,Normal
49,638,0.43,Quente
47,521,0.38,Quente
50,358,0.28,Quente
55,168,0.13,Normal
75,13,0.03,Normal
78,0,0.03,Frio
80,0,0.03,Frio
80,0,0.03,Frio
84,0,0.03,Frio
89,0,0,Frio
80,0,0,Frio
80,0,0.03,Frio
87,0,0.03,Frio
90,0,0.03,Frio
93,0,0,Frio
98,0,0,Frio
100,0,0,Frio
100,8,0,Frio
93,161,0.08,Frio
86,344,0.2,Normal
78,500,0.3,Normal
71,649,0.38,Normal
68,597,0.38,Normal
63,648,0.43,Normal
66,529,0.38,Normal
63,314,0.23,Normal
64,308,0.23,Normal
67,175,0.15,Normal
73,16,0.03,Normal
79,0,0.03,Normal
79,0,0.03,Frio
78,0,0.03,Frio
81,0,0.03,Frio
81,0,0.03,Frio
84,0,0.03,Frio
86,0,0.03,Frio
88,0,0.03,Frio
90,0,0.03,Frio
93,0,0,Frio
98,0,0,Frio
100,0,0,Frio
100,9,0,Frio
94,150,0.08,Frio
84,343,0.2,Normal
81,494,0.3,Normal
76,460,0.3,Normal
74,415,0.3,Normal
74,502,0.38,Normal
69,368,0.28,Normal
70,400,0.28,Normal
69,203,0.18,Normal
71,136,0.13,Normal
81,10,0.03,Normal
83,0,0.03,Frio
84,0,0.03,Frio
88,0,0.03,Frio
90,0,0,Frio
94,0,0,Frio
93,0,0,Frio
97,0,0,Frio
97,0,0,Frio
99,0,0,Frio
100,0,0,Frio
100,0,0,Frio
100,0,0,Frio
100,7,0,Frio
100,66,0.03,Frio
100,66,0.03,Frio
100,159,0.1,Frio
93,210,0.13,Frio
90,215,0.13,Normal
87,197,0.13,Normal
82,315,0.23,Normal
80,237,0.18,Normal
71,342,0.23,Normal
71,157,0.15,Normal
91,11,0.03,Normal
96,0,0,Frio
93,0,0,Frio
96,0,0,Frio
99,0,0,Frio
100,0,0,Frio
100,0,0,Frio
100,0,0,Frio
100,0,0,Frio
100,0,0,Frio
100,0,0,Frio
100,0,0,Frio
100,0,0,Frio
100,6,0,Frio
99,62,0.03,Frio
89,158,0.1,Frio
82,398,0.23,Normal
79,659,0.38,Normal
72,367,0.3,Normal
64,452,0.33,Normal
62,645,0.38,Normal
63,418,0.28,Normal
63,395,0.25,Normal
75,182,0.13,Normal
81,19,0.03,Normal
83,0,0.03,Normal
83,0,0.03,Normal
88,0,0.03,Frio
87,0,0.03,Frio
88,0,0.03,Frio
91,0,0.03,Frio
95,0,0,Frio
99,0,0,Frio
100,0,0,Frio
100,0,0,Frio
100,0,0,Frio
100,0,0,Frio
100,5,0,Frio
97,138,0.08,Frio
88,331,0.18,Normal
87,389,0.23,Normal
81,613,0.38,Normal
79,548,0.36,Normal
75,374,0.28,Normal
73,401,0.3,Normal
72,343,0.25,Normal
73,275,0.2,Normal
78,162,0.13,Normal
89,12,0.03,Normal
90,0,0,Frio
94,0,0,Frio
92,0,0,Frio
94,0,0,Frio
92,0,0,Frio
96,0,0,Frio
94,0,0,Frio
97,0,0,Frio
96,0,0,Frio
94,0,0,Frio
94,0,0,Frio
97,0,0,Frio
99,6,0,Frio
91,152,0.08,Frio
85,339,0.18,Normal
80,501,0.3,Normal
76,615,0.38,Normal
