		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	ET 	Samp	Tx 	Recept	Int.
13/06/11	1:00	14.1	14.6	14.1	93	12.9	1.3	W	4.83	2.7	W	14.1	14.2	14.2	---	760.3	0.00	0.0	0	0.00	0	---	---	---	0.178	0.000	22.4	55	12.9	22.2	0.00	1335	3	100.0	60
13/06/11	2:00	13.9	14.1	13.9	92	12.7	1.3	W	4.83	3.1	W	13.9	14.0	14.0	---	760.1	0.00	0.0	0	0.00	0	---	---	---	0.183	0.000	22.3	55	12.8	22.0	0.00	1330	3	100.0	60
13/06/11	3:00	13.1	13.9	13.1	93	12.0	1.3	W	4.83	3.1	W	13.1	13.2	13.2	---	759.7	0.00	0.0	0	0.00	0	---	---	---	0.218	0.000	22.1	55	12.6	21.8	0.00	1338	3	100.0	60
13/06/11	4:00	12.0	13.2	11.9	96	11.4	1.3	W	4.83	2.7	W	12.0	12.2	12.2	---	759.6	0.00	0.0	0	0.00	0	---	---	---	0.264	0.000	21.9	55	12.4	21.4	0.00	1336	3	100.0	60
13/06/11	5:00	11.4	12.0	11.4	97	10.9	1.3	W	4.83	2.7	W	11.4	11.6	11.6	---	759.7	0.00	0.0	0	0.00	0	---	---	---	0.289	0.000	21.7	55	12.3	21.2	0.00	1333	3	100.0	60
13/06/11	6:00	10.8	11.4	10.8	97	10.3	0.9	W	3.22	2.2	W	10.8	11.0	11.0	---	760.0	0.00	0.0	0	0.00	0	---	---	---	0.315	0.000	21.5	55	12.1	20.9	0.00	1333	3	100.0	60
13/06/11	7:00	10.8	10.8	10.4	98	10.5	0.0	W	0.00	1.8	W	10.8	11.1	11.1	---	760.6	0.00	0.0	6	0.52	37	---	---	---	0.315	0.000	21.3	55	11.9	20.7	0.00	1332	3	100.0	60
13/06/11	8:00	14.3	14.3	10.8	95	13.5	0.9	W	3.22	3.1	W	14.3	14.4	14.4	---	761.3	0.00	0.0	132	11.35	236	---	---	---	0.169	0.000	21.3	56	12.2	20.7	0.08	1329	3	100.0	60
13/06/11	9:00	15.8	15.8	14.3	89	14.0	1.8	SW	6.44	4.5	SW	15.8	16.0	16.0	---	761.7	0.00	0.0	345	29.67	496	---	---	---	0.104	0.000	21.6	56	12.5	21.1	0.18	1315	3	100.0	60
13/06/11	10:00	17.9	17.9	15.8	80	14.4	0.9	SW	3.22	3.6	S	17.9	18.3	18.3	---	761.7	0.00	0.0	587	50.49	719	---	---	---	0.016	0.000	21.6	59	13.3	21.3	0.28	1312	3	100.0	60
13/06/11	11:00	19.6	19.6	17.9	75	15.1	0.9	SW	3.22	3.1	WSW	19.6	20.1	20.1	---	761.3	0.00	0.0	648	55.74	726	---	---	---	0.000	0.053	21.8	59	13.4	21.5	0.33	1322	3	100.0	60
13/06/11	12:00	21.3	21.4	19.6	61	13.5	0.9	SW	3.22	4.5	N	21.3	21.0	21.0	---	760.6	0.00	0.0	752	64.68	947	---	---	---	0.000	0.125	22.4	58	13.7	22.3	0.41	1319	3	100.0	60
