		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	ET 	Samp	Tx 	Recept	Int.
01/01/14	1:00	19.2	19.4	19.1	100	19.2	0.0	---	0.00	0.0	---	19.2	20.2	20.2	---	751.6	0.00	0.0	0	0.00	0	---	---	---	0.000	0.037	28.5	54	18.3	29.6	0.00	1297	1	94.8	60
01/01/14	2:00	18.9	19.1	18.8	100	18.9	0.0	---	0.00	0.0	---	18.9	19.8	19.8	---	751.1	0.00	0.0	0	0.00	0	---	---	---	0.000	0.025	28.3	54	18.1	29.3	0.00	1332	1	97.4	60
01/01/14	3:00	18.7	18.8	18.4	100	18.7	0.0	---	0.00	0.0	---	18.7	19.4	19.4	---	751.1	0.00	0.0	0	0.00	0	---	---	---	0.000	0.014	28.2	54	18.0	29.1	0.00	1342	1	98.1	60
01/01/14	4:00	18.4	18.4	18.4	100	18.4	0.0	---	0.00	0.0	---	18.4	19.1	19.1	---	751.4	0.00	0.0	0	0.00	0	---	---	---	0.000	0.002	28.0	54	17.8	28.8	0.00	1343	1	98.2	60
01/01/14	5:00	18.4	18.4	18.4	100	18.4	0.0	---	0.00	0.0	---	18.4	19.2	19.2	---	751.2	0.00	0.0	0	0.00	0	---	---	---	0.000	0.005	27.8	54	17.7	28.6	0.00	1335	1	97.6	60
01/01/14	6:00	18.2	18.4	17.7	100	18.2	0.0	---	0.00	0.0	---	18.2	18.8	18.8	---	751.6	0.00	0.0	0	0.00	0	---	---	---	0.007	0.000	27.7	53	17.3	28.3	0.00	1339	1	97.9	60
01/01/14	7:00	17.7	18.0	17.6	100	17.7	0.0	---	0.00	0.0	---	17.7	18.3	18.3	---	752.1	0.00	0.0	12	1.03	46	---	---	---	0.028	0.000	27.6	53	17.1	28.1	0.00	1318	1	96.3	60
01/01/14	8:00	19.4	21.7	18.0	90	17.8	0.0	---	0.00	0.0	---	19.4	20.3	20.3	---	751.6	0.00	0.0	166	14.28	297	---	---	---	0.000	0.046	27.4	53	17.0	27.9	0.10	1346	1	98.4	60
01/01/14	9:00	23.3	25.2	21.7	83	20.3	0.0	---	0.00	0.0	---	23.3	24.5	24.5	---	751.8	0.00	0.0	405	34.83	512	---	---	---	0.000	0.208	27.3	53	16.9	27.7	0.25	1349	1	98.6	60
01/01/14	10:00	25.5	26.2	25.1	73	20.3	0.0	---	0.00	0.0	---	25.5	26.8	26.8	---	751.9	0.00	0.0	610	52.47	708	---	---	---	0.000	0.299	27.3	53	16.9	27.7	0.38	1320	1	96.5	60
01/01/14	11:00	26.6	27.3	26.1	72	21.1	0.0	---	0.00	0.0	---	26.6	28.3	28.3	---	752.2	0.00	0.0	798	68.64	918	---	---	---	0.000	0.345	27.3	53	16.9	27.7	0.51	1344	1	98.2	60
01/01/14	12:00	27.4	28.3	26.5	62	19.5	0.0	---	0.00	0.0	---	27.4	28.7	28.7	---	751.5	0.00	0.0	876	75.35	1037	---	---	---	0.000	0.380	27.4	53	17.0	27.9	0.56	1333	1	97.4	60
01/01/14	13:00	28.4	28.9	27.8	64	21.0	0.0	---	0.00	0.0	---	28.4	30.6	30.6	---	751.3	0.00	0.0	969	83.34	1243	---	---	---	0.000	0.421	27.7	53	17.3	28.3	0.58	1326	1	96.9	60
01/01/14	14:00	28.9	29.6	28.2	59	20.1	0.0	---	0.00	0.0	---	28.9	30.9	30.9	---	750.7	0.00	0.0	900	77.41	1230	---	---	---	0.000	0.442	28.0	53	17.5	28.7	0.58	1340	1	98.0	60
01/01/14	15:00	29.6	30.0	28.5	53	19.0	0.0	---	0.00	0.0	---	29.6	31.1	31.1	---	749.8	0.00	0.0	990	85.15	1100	---	---	---	0.000	0.470	28.3	53	17.8	29.2	0.63	1340	1	98.0	60
01/01/14	16:00	30.3	30.9	29.8	51	19.0	0.0	---	0.00	0.0	---	30.3	31.9	31.9	---	748.8	0.00	0.0	890	76.55	1049	---	---	---	0.000	0.498	28.8	52	17.9	29.9	0.58	1346	1	98.4	60
01/01/14	17:00	30.1	31.6	28.9	66	23.0	0.0	---	0.00	0.0	---	30.1	34.4	34.4	---	748.6	0.00	0.0	442	38.02	1021	---	---	---	0.000	0.488	29.2	52	18.3	30.4	0.30	1347	1	98.5	60
01/01/14	18:00	26.8	28.9	24.8	84	23.8	0.0	---	0.00	0.0	---	26.8	29.9	29.9	---	749.5	0.00	0.0	124	10.67	192	---	---	---	0.000	0.352	29.6	52	18.7	30.9	0.08	1342	1	98.1	60
01/01/14	19:00	22.1	24.8	21.4	96	21.4	0.0	---	0.00	0.0	---	22.1	23.7	23.7	---	749.4	0.00	0.0	45	3.87	77	---	---	---	0.000	0.157	29.8	52	18.9	31.3	0.03	1337	1	97.7	60
01/01/14	20:00	21.3	21.6	21.0	92	20.0	0.0	---	0.00	0.0	---	21.3	22.6	22.6	---	750.7	0.00	0.0	10	0.86	28	---	---	---	0.000	0.125	30.0	52	19.1	31.6	0.00	1316	1	96.2	60
01/01/14	21:00	20.8	21.3	20.4	99	20.7	0.0	---	0.00	0.0	---	20.8	22.5	22.5	---	750.5	0.00	0.0	0	0.00	0	---	---	---	0.000	0.104	30.1	52	19.1	31.7	0.00	1266	1	92.5	60
01/01/14	22:00	20.3	20.4	20.0	100	20.3	0.0	---	0.00	0.0	---	20.3	21.6	21.6	---	750.6	0.00	0.0	0	0.00	0	---	---	---	0.000	0.081	30.1	52	19.1	31.7	0.00	1263	1	92.3	60
01/01/14	23:00	20.1	20.4	19.7	100	20.1	0.0	---	0.00	0.0	---	20.1	21.2	21.2	---	750.5	0.00	0.0	0	0.00	0	---	---	---	0.000	0.072	29.9	52	19.0	31.4	0.00	1271	1	92.9	60
02/01/14	00:00	20.2	20.4	19.8	100	20.2	0.0	---	0.00	0.0	---	20.2	21.4	21.4	---	750.4	0.00	0.0	0	0.00	0	---	---	---	0.000	0.076	29.8	52	18.9	31.3	0.00	1259	1	92.0	60
02/01/14	1:00	20.1	20.3	19.8	98	19.7	0.0	---	0.00	0.0	---	20.1	21.2	21.2	---	750.1	0.00	0.0	0	0.00	0	---	---	---	0.000	0.072	29.7	52	18.8	31.1	0.00	1247	1	91.2	60
02/01/14	2:00	19.9	20.2	19.8	96	19.2	0.0	---	0.00	0.0	---	19.9	20.9	20.9	---	749.8	0.00	0.0	0	0.00	0	---	---	---	0.000	0.065	29.4	52	18.6	30.7	0.00	1255	1	91.7	60
02/01/14	3:00	20.0	20.2	19.7	94	19.0	0.0	---	0.00	0.0	---	20.0	21.1	21.1	---	748.7	0.00	0.0	0	0.00	0	---	---	---	0.000	0.069	29.3	52	18.4	30.5	0.00	1297	1	94.8	60
02/01/14	4:00	19.8	20.2	19.1	99	19.6	0.0	---	0.00	0.0	---	19.8	20.8	20.8	---	749.0	0.00	0.0	0	0.00	0	---	---	---	0.000	0.060	29.1	52	18.3	30.3	0.00	1332	1	97.4	60
02/01/14	5:00	19.1	19.4	18.9	98	18.8	0.0	---	0.00	0.0	---	19.1	20.0	20.0	---	749.9	0.00	0.0	0	0.00	0	---	---	---	0.000	0.032	28.9	52	18.0	30.1	0.00	1318	1	96.3	60
02/01/14	6:00	19.8	19.9	19.4	98	19.5	0.0	---	0.00	0.0	---	19.8	20.8	20.8	---	750.2	0.00	0.0	0	0.00	0	---	---	---	0.000	0.060	28.7	52	17.9	29.8	0.00	1316	1	96.2	60
02/01/14	7:00	19.7	19.9	19.4	100	19.7	0.0	---	0.00	0.0	---	19.7	20.7	20.7	---	750.7	0.00	0.0	6	0.52	30	---	---	---	0.000	0.056	28.5	52	17.7	29.4	0.00	1321	1	96.6	60
02/01/14	8:00	20.4	21.2	19.8	100	20.4	0.0	---	0.00	0.0	---	20.4	21.8	21.8	---	750.9	0.00	0.0	100	8.60	190	---	---	---	0.000	0.086	28.4	52	17.6	29.2	0.05	1314	1	96.1	60
02/01/14	9:00	22.7	24.2	21.2	84	19.8	0.0	---	0.00	0.0	---	22.7	23.8	23.8	---	750.8	0.00	0.0	307	26.41	446	---	---	---	0.000	0.181	28.3	52	17.5	29.1	0.18	1334	1	97.5	60
02/01/14	10:00	24.4	25.7	23.8	80	20.7	0.0	---	0.00	0.0	---	24.4	26.0	26.0	---	750.9	0.00	0.0	434	37.33	800	---	---	---	0.000	0.252	28.2	52	17.4	28.9	0.28	1326	1	96.9	60
02/01/14	11:00	25.8	26.4	25.6	76	21.3	0.0	---	0.00	0.0	---	25.8	27.5	27.5	---	750.8	0.00	0.0	643	55.31	1034	---	---	---	0.000	0.313	28.2	52	17.4	28.9	0.41	1325	1	96.9	60
02/01/14	12:00	27.3	27.9	26.4	68	20.9	0.0	---	0.00	0.0	---	27.3	29.0	29.0	---	750.1	0.00	0.0	918	78.96	1158	---	---	---	0.000	0.373	28.2	52	17.4	29.0	0.56	1333	1	97.4	60
02/01/14	13:00	28.1	28.6	27.7	68	21.6	0.0	---	0.00	0.0	---	28.1	30.6	30.6	---	749.7	0.00	0.0	518	44.55	1368	---	---	---	0.000	0.407	28.4	52	17.6	29.2	0.43	1332	1	97.4	60
02/01/14	14:00	28.7	29.7	27.7	66	21.7	0.0	---	0.00	0.0	---	28.7	31.6	31.6	---	749.4	0.00	0.0	1109	95.39	1317	---	---	---	0.000	0.433	28.7	52	17.8	29.7	0.69	1333	1	97.4	60
02/01/14	15:00	29.6	30.3	28.5	61	21.3	0.0	---	0.00	0.0	---	29.6	32.4	32.4	---	748.5	0.00	0.0	948	81.54	1097	---	---	---	0.000	0.470	28.9	53	18.3	30.2	0.61	1339	1	97.9	60
02/01/14	16:00	30.4	31.2	29.7	56	20.7	0.0	---	0.00	0.0	---	30.4	33.2	33.2	---	748.0	0.00	0.0	942	81.02	1060	---	---	---	0.000	0.505	28.3	56	18.7	29.4	0.61	1338	1	97.8	60
02/01/14	17:00	29.8	31.4	28.3	61	21.4	0.0	---	0.00	0.0	---	29.8	32.8	32.8	---	747.8	0.00	0.0	617	53.07	977	---	---	---	0.000	0.477	28.3	56	18.7	29.4	0.38	1353	1	98.9	60
02/01/14	18:00	29.2	30.0	28.3	57	19.8	0.0	---	0.00	0.0	---	29.2	31.1	31.1	---	747.3	0.00	0.0	398	34.23	534	---	---	---	0.000	0.454	29.3	52	18.4	30.5	0.28	1325	1	96.9	60
02/01/14	19:00	29.3	29.9	28.8	61	21.0	0.0	---	0.00	0.0	---	29.3	31.9	31.9	---	747.6	0.00	0.0	211	18.15	327	---	---	---	0.000	0.458	29.9	51	18.7	31.3	0.15	1345	1	98.3	60
02/01/14	20:00	26.9	28.8	24.9	78	22.8	0.0	---	0.00	0.0	---	26.9	29.5	29.5	---	748.7	0.00	0.0	31	2.67	113	---	---	---	0.000	0.359	30.3	51	19.0	31.9	0.03	1333	1	97.4	60
02/01/14	21:00	24.0	24.9	22.6	88	21.9	0.0	---	0.00	0.0	---	24.0	25.8	25.8	---	749.1	0.00	0.0	0	0.00	0	---	---	---	0.000	0.236	30.4	51	19.2	32.3	0.03	1349	1	98.6	60
02/01/14	22:00	21.7	22.6	21.2	91	20.1	0.0	---	0.00	0.0	---	21.7	22.9	22.9	---	749.6	0.00	0.0	0	0.00	0	---	---	---	0.000	0.139	30.5	51	19.2	32.3	0.00	1347	1	98.5	60
02/01/14	23:00	20.8	21.7	20.3	97	20.3	0.0	---	0.00	0.0	---	20.8	22.3	22.3	---	750.0	0.00	0.0	0	0.00	0	---	---	---	0.000	0.102	30.5	51	19.2	32.3	0.00	1348	1	98.5	60
03/01/14	00:00	19.9	20.4	19.2	98	19.6	0.0	---	0.00	0.0	---	19.9	21.0	21.0	---	750.2	0.00	0.0	0	0.00	0	---	---	---	0.000	0.067	30.4	51	19.2	32.3	0.00	1341	1	98.0	60
03/01/14	1:00	19.1	19.3	18.8	100	19.1	0.0	---	0.00	0.0	---	19.1	20.0	20.0	---	749.9	0.00	0.0	0	0.00	0	---	---	---	0.000	0.032	30.3	50	18.7	31.8	0.00	1333	1	97.4	60
03/01/14	2:00	18.8	19.0	18.7	99	18.7	0.0	---	0.00	0.0	---	18.8	19.7	19.7	---	749.3	0.00	0.0	0	0.00	0	---	---	---	0.000	0.021	30.2	50	18.6	31.6	0.00	1337	1	97.7	60
03/01/14	3:00	18.5	18.6	18.4	100	18.5	0.0	---	0.00	0.0	---	18.5	19.3	19.3	---	749.1	0.00	0.0	0	0.00	0	---	---	---	0.000	0.007	29.9	50	18.4	31.2	0.00	1337	1	97.7	60
03/01/14	4:00	18.4	18.6	18.4	100	18.4	0.0	---	0.00	0.0	---	18.4	19.2	19.2	---	748.8	0.00	0.0	0	0.00	0	---	---	---	0.000	0.005	29.7	50	18.2	30.8	0.00	1351	1	98.8	60
03/01/14	5:00	18.2	18.4	17.9	100	18.2	0.0	---	0.00	0.0	---	18.2	18.8	18.8	---	749.8	0.00	0.0	0	0.00	0	---	---	---	0.007	0.000	29.5	50	18.0	30.5	0.00	1336	1	97.7	60
03/01/14	6:00	17.9	18.3	16.9	100	17.9	0.0	---	0.00	0.0	---	17.9	18.6	18.6	---	750.0	0.00	0.0	0	0.00	0	---	---	---	0.016	0.000	29.3	50	17.8	30.3	0.00	1335	1	97.6	60
03/01/14	7:00	16.7	17.7	16.3	100	16.7	0.0	---	0.00	0.0	---	16.7	17.1	17.1	---	750.8	0.00	0.0	18	1.55	79	---	---	---	0.069	0.000	29.1	50	17.6	30.1	0.00	1325	1	96.9	60
