@relation estacao-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute umidade numeric
@attribute velocidade_vento numeric
@attribute chuva numeric
@attribute radicao_solar numeric
@attribute et numeric
@attribute classe {Frio,Normal,Quente}

@data
0.807018,0.088889,0,0,0.058824,Frio
0.807018,0.2,0,0,0,Frio
0.894737,0,0,0,0,Frio
0.912281,0,0,0,0,Frio
0.894737,0,0,0,0,Frio
0.894737,0.088889,0,0,0,Frio
0.947368,0,0,0.012804,0,Frio
0.596491,0,0,0.212548,0.156863,Frio
0.438596,0.2,0,0.460948,0.45098,Normal
0.298246,0.4,0,0.678617,0.647059,Normal
0.263158,0.2,0,0.828425,0.803922,Normal
0.350877,0.2,0,0.81178,0.803922,Normal
0.175439,0.288889,0,0.869398,0.803922,Normal
0.157895,0.288889,0,0.839949,0.843137,Quente
0.210526,0.088889,0,0.560819,0.588235,Quente
0.087719,0.2,0,0.414853,0.45098,Quente
0.140351,0,0,0.203585,0.196078,Quente
0.561404,0,0,0.019206,0.058824,Normal
0.719298,0,0,0,0.058824,Normal
0.877193,0,0,0,0,Frio
0.789474,0,0,0,0,Frio
0.754386,0,0,0,0,Frio
0.789474,0,0,0,0,Frio
0.807018,0,0,0,0,Frio
0.807018,0,0,0,0,Frio
0.859649,0,0,0,0,Frio
0.894737,0,0,0,0,Frio
0.859649,0,0,0,0,Frio
0.947368,0,0,0,0,Frio
1,0,0,0,0,Frio
0.982456,0,0,0.008963,0,Frio
0.859649,0,0,0.09347,0.098039,Frio
0.77193,0.288889,0,0.453265,0.392157,Normal
0.631579,0.288889,0,0.661972,0.588235,Normal
0.578947,0.288889,0,0.81178,0.745098,Normal
0.45614,0.2,0,0.90781,0.901961,Normal
0.403509,0.4,0,0.898848,0.901961,Normal
0.192982,0.288889,0,0.833547,0.803922,Quente
0.157895,0.2,0,0.672215,0.705882,Quente
0.157895,0.2,0,0.501921,0.54902,Quente
0.245614,0.088889,0,0.207426,0.254902,Quente
0.508772,0,0,0.016645,0.058824,Normal
0.596491,0,0,0,0.058824,Normal
0.666667,0,0,0,0.058824,Normal
