@relation patrocinio-weka.filters.unsupervised.attribute.Remove-R1

@attribute umid_inst numeric
@attribute pressao numeric
@attribute vento_direcao numeric
@attribute vento_vel numeric
@attribute radiacao numeric
@attribute classe {Frio,Normal,Quente}

@data
75,905.9,0.8,150,-4,Normal
76,906.4,0,155,-4,Normal
78,906.4,0,110,-4,Normal
76,906,0.3,148,-4,Normal
85,905.7,0,234,-4,Frio
89,905.2,0.2,168,-4,Frio
84,905.1,0.5,158,-4,Frio
87,905,0.1,70,-4,Frio
82,905.3,0.5,29,-4,Frio
85,905.8,0.2,201,-4,Frio
88,906.5,0.8,206,57,Frio
70,907.5,0.5,171,772,Normal
62,908.3,2.3,54,1820,Normal
57,908.4,4.7,34,2663,Quente
53,908.2,3.6,29,3272,Quente
50,907.5,2.7,82,3634,Quente
53,906.7,4.6,32,2686,Quente
45,905.9,2.2,49,3574,Quente
42,905,1.2,226,2167,Quente
46,904.3,1.8,131,2449,Quente
49,904,1.2,171,1442,Quente
65,904.9,2.7,348,400,Normal
70,905.1,1.8,18,19,Normal
75,905.8,1,11,-4,Normal
79,906.8,0.1,120,-4,Normal
85,907.3,0.1,122,-4,Normal
82,907.2,0.1,354,-4,Normal
90,906.8,0,27,-3,Normal
88,906.3,0.1,50,-2,Normal
87,906.1,1.8,280,-3,Normal
93,906,0,316,-3,Normal
94,905.9,0,336,-4,Normal
93,906.4,0,121,-3,Normal
95,907.1,0.3,158,-3,Normal
97,907.8,0.1,6,54,Normal
75,908.2,1.3,355,863,Normal
71,908.7,1.7,337,1318,Normal
68,908.6,2,331,2204,Normal
78,908.6,3.4,11,1061,Normal
49,908,1,105,2467,Quente
66,907.2,3,216,1882,Normal
56,906.1,2.9,226,2526,Quente
55,905.9,1.7,32,2432,Quente
53,905.7,2.1,356,1455,Normal
58,906,2.1,145,352,Normal
66,905.6,0.3,199,135,Normal
78,906.2,0.1,21,8,Normal
85,906.1,0.3,168,-4,Normal
88,906.7,0.4,17,-4,Normal
93,906.9,0,186,-4,Frio
95,907.1,0,188,-4,Frio
97,906.8,0,155,-3,Frio
97,906.3,0,158,-4,Frio
95,905.9,0.6,154,-4,Frio
94,905.9,0.6,151,-4,Frio
97,905.7,0,58,-4,Frio
97,905.9,0,142,-4,Frio
96,906.3,0.1,175,-4,Frio
98,906.7,0.1,151,64,Frio
76,907.3,0.3,133,905,Normal
60,907.4,1.5,94,1823,Normal
52,907.1,2.6,59,2603,Quente
48,906.7,2.9,34,3212,Quente
44,905.9,2,88,3608,Quente
45,905,0.5,145,2667,Quente
59,904.4,3.3,298,842,Quente
64,903.9,3.8,324,1226,Normal
58,903.1,2.4,1,1347,Quente
50,902.6,2.4,24,1098,Quente
59,902.8,0.9,21,368,Quente
71,903.2,0.6,10,14,Normal
76,904,0.2,190,-4,Normal
84,905,0.1,177,-4,Normal
86,905.7,0,149,-3,Normal
85,905.7,0,55,-3,Normal
85,905.2,0,11,-3,Normal
88,905.1,0,192,-4,Normal
86,904.6,0,212,-4,Normal
92,904.2,0,78,-4,Frio
95,903.9,0,229,-4,Frio
95,904.3,0.6,340,-3,Frio
93,905,0,164,-4,Frio
97,905.5,0.1,209,80,Frio
80,906.1,0.2,173,823,Normal
62,906.3,1,77,1558,Normal
56,906,2.1,337,2479,Quente
52,905.4,2.5,12,2989,Quente
50,904.7,2.6,11,2848,Quente
46,903.8,2.9,343,2683,Quente
43,903.1,3.4,325,2914,Quente
43,902.1,3.2,344,2577,Quente
43,901.7,3.3,305,2326,Quente
52,901.7,4.3,355,1657,Quente
64,902.1,2.2,344,472,Quente
77,902.7,0.7,341,3,Normal
79,903.3,0.1,357,-4,Normal
85,904,0.8,25,-4,Normal
92,904.5,0,253,-4,Normal
90,904.4,0,326,-4,Normal
88,904.6,0.1,223,-4,Normal
91,904.6,0,315,-3,Normal
93,904.3,0,245,-3,Normal
91,904.5,0.6,324,-4,Normal
90,904.8,1.1,301,-3,Normal
93,905.3,1.8,279,-2,Normal
93,906.1,1.3,233,-3,Normal
95,906.9,0.3,350,81,Normal
91,907.3,1.3,231,331,Normal
83,907.8,0.7,277,871,Normal
73,907.6,1,228,1671,Normal
69,907.5,2.3,297,2549,Quente
57,906.7,2.8,300,3161,Quente
51,905.9,3.9,312,3214,Quente
48,905.1,3.7,316,3396,Quente
48,904.8,3.8,302,3015,Quente
46,904.3,4.2,305,2272,Quente
45,903.8,3.5,294,1437,Quente
57,904.4,1.5,285,514,Quente
66,905.3,1.4,285,6,Normal
72,906,1.9,295,-4,Normal
77,907.1,1.6,305,-4,Normal
86,907.2,0.1,90,-3,Normal
89,907.2,0.1,125,-4,Normal
92,907.3,0,205,-4,Normal
89,906.7,0.2,211,-4,Normal
89,906.5,1.4,192,-4,Normal
91,906.1,0.9,157,-4,Normal
95,905.9,0.1,279,-4,Normal
94,906.5,0.1,247,-3,Normal
96,907,0,182,-3,Normal
96,907.4,0.1,295,108,Normal
83,907.9,0.8,116,700,Normal
79,908.4,0.6,195,814,Normal
67,908.6,0.6,192,1091,Quente
62,908.1,2.8,222,2065,Quente
59,907.3,2.2,225,2672,Quente
55,906.3,2.7,226,2496,Quente
47,905.4,3.1,276,3129,Quente
46,904.8,2.9,242,3079,Quente
46,904.4,3,211,2272,Quente
51,904.3,4.5,227,1849,Quente
67,905.2,2.8,194,529,Normal
74,906,0.2,190,8,Normal
80,906.7,0.5,180,-4,Normal
79,907,0.7,194,-4,Normal
86,907.2,0.7,185,-4,Normal
87,906.8,1.5,202,-4,Normal
93,906.4,0.2,195,-4,Normal
94,906,0,90,-4,Normal
96,905.6,0.1,144,-3,Frio
97,905.2,0,290,-3,Frio
97,905,0,3,-3,Frio
98,905.1,0.1,208,-3,Normal
98,905.5,0,150,-3,Frio
98,905.9,0,211,56,Normal
87,906.6,1.6,138,852,Normal
72,906.8,1.7,122,1747,Normal
65,906.5,2.1,108,2535,Quente
60,906.3,1.9,81,2585,Quente
52,905.5,3.3,52,3305,Quente
67,905.1,2.5,151,2518,Quente
87,904.7,1.9,129,910,Normal
88,904.5,2.1,356,545,Normal
91,904.3,0.6,334,160,Normal
92,904.3,0.2,173,148,Normal
93,904.7,0.8,147,166,Normal
93,905.3,1.4,138,7,Normal
93,905.7,1.1,116,-3,Normal
94,906.7,0.5,173,-2,Normal
93,907.6,0.1,230,-2,Normal
94,907.3,0.7,60,-3,Normal
93,906.5,2.7,64,-3,Normal
89,906.4,2.6,74,-3,Normal
94,906.1,1.7,86,-4,Normal
95,905.8,1.5,127,-3,Normal
95,905.8,1.3,129,-3,Normal
95,905.8,1.5,128,0,Normal
94,906.2,1.2,122,0,Normal
94,906.8,1,89,15,Normal
94,907.8,0.7,97,103,Normal
96,908.4,0.7,101,218,Normal
92,908.6,1.3,98,422,Normal
91,908.6,2.6,71,659,Normal
89,908.1,2,122,783,Normal
91,907.8,1.2,113,648,Normal
91,906.9,1.3,119,1787,Normal
77,906.3,1.9,111,2122,Normal
75,906.1,2.1,114,1841,Normal
76,906.2,1.2,104,1100,Normal
85,906.5,3.4,52,262,Normal
86,907,1.6,61,5,Normal
94,907.3,0,70,-4,Normal
96,907.8,0.1,125,-4,Normal
95,908.1,0.1,139,-3,Frio
97,908.2,0.1,77,-3,Frio
96,908.2,0.5,121,-1,Normal
95,908,0.4,111,-2,Normal
96,907.7,0.2,116,-3,Normal
96,907.6,1,128,-3,Normal
96,907.5,0.3,109,-3,Normal
97,907.6,1.3,129,-3,Frio
96,908,1.3,121,-4,Frio
95,908.7,1.1,95,108,Normal
91,909.3,1.2,94,375,Normal
85,909.6,1.7,88,753,Normal
82,909.8,1.9,89,858,Normal
74,909.6,1.3,84,1525,Normal
72,908.9,1.6,88,1627,Normal
66,908.1,2.3,134,2549,Quente
65,907.5,1.2,30,1828,Quente
66,907,0.3,81,1331,Quente
56,906.5,1,65,1813,Quente
78,906.4,1,188,458,Normal
75,906.5,0.8,85,450,Normal
81,906.9,0.6,149,5,Normal
91,907.4,0,153,-4,Normal
89,907.9,0,46,-4,Normal
93,907.9,0,18,-4,Normal
93,907.9,0.9,189,-4,Normal
95,908.3,0,174,-3,Normal
95,907.6,0.1,124,-3,Normal
93,907.6,1.5,119,-3,Normal
92,907.6,1.5,99,-4,Normal
92,907.4,1.4,126,-3,Normal
91,907.5,1.4,113,-4,Normal
91,908.1,1.2,98,-4,Normal
93,908.9,0.8,125,93,Normal
87,909.2,1.7,119,562,Normal
78,909.6,2.8,118,1105,Normal
73,909.6,2.5,88,1596,Normal
69,909.5,1.9,91,2601,Normal
63,908.8,2.4,75,2740,Quente
64,908.3,1.4,63,2060,Quente
65,907.3,1.4,61,658,Normal
63,906.4,1.7,53,1553,Quente
64,906.1,0.8,75,1198,Normal
69,906.1,0.9,70,518,Normal
76,906.6,0.1,74,115,Normal
82,906.7,0.1,107,-3,Normal
88,907.9,0.4,168,-4,Normal
84,908.3,0.9,77,-3,Normal
86,908.4,0.7,101,-3,Normal
86,908.3,1,132,-3,Normal
88,908.3,0.8,82,-4,Normal
90,907.8,1.2,128,-3,Normal
89,907.4,0.5,112,-3,Normal
88,907.2,0.6,102,-4,Normal
87,907.1,1,97,-4,Normal
89,907,0.7,95,-3,Normal
91,906.9,1,92,-4,Normal
91,907.4,1.2,107,92,Normal
80,908.2,2.3,94,846,Normal
75,908.6,1.9,75,1419,Normal
71,908.8,2,91,1649,Normal
66,908.3,1.8,74,1987,Normal
62,907.7,3.6,11,2339,Quente
60,906.8,3,51,2848,Quente
71,906.1,3.1,331,658,Normal
70,905.1,3,329,831,Normal
81,905.1,2.2,215,472,Normal
89,905.6,2.5,88,218,Normal
96,906.2,1.9,127,61,Normal
95,906.6,0.3,348,-1,Normal
97,907.4,1,238,-2,Normal
98,907.5,0.5,350,-2,Frio
98,907.5,0.2,200,-3,Normal
98,907.6,0.7,194,0,Normal
98,907.7,1.3,353,-3,Normal
98,907.3,0.1,123,-2,Normal
98,906.6,0,103,-3,Normal
98,906.1,0.7,145,-3,Normal
98,905.9,0.7,144,-2,Normal
99,906.3,1.3,141,-3,Normal
98,906.6,1.7,130,-2,Normal
98,907.3,0.6,124,50,Normal
98,907.8,0.8,107,382,Normal
83,908.5,2.9,69,1051,Normal
80,908.3,2.6,62,1395,Normal
77,908.1,2.8,20,1433,Normal
73,907.4,1.6,73,2072,Normal
67,906.5,1.6,98,2489,Normal
58,905.3,2.8,47,3502,Quente
64,904.5,2,129,2897,Quente
64,903.8,0,112,891,Quente
70,904,1,122,516,Normal
95,904.4,1,143,44,Normal
96,904.9,0.1,335,-1,Normal
97,905.4,0.1,166,-3,Normal
98,905.5,0,291,-3,Normal
98,906.2,1.9,356,-4,Normal
98,906.1,0,115,-3,Frio
98,906.1,0,173,-3,Frio
98,905.6,0,303,-2,Frio
98,905.5,0,254,-3,Normal
98,905.3,0.5,144,-2,Frio
98,905.1,0,165,-3,Normal
95,905.3,0.6,137,-3,Normal
97,906,0.8,115,-3,Normal
94,906.6,1.6,72,84,Normal
91,907.1,0.2,154,462,Normal
