YEAR    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC   D-J-F   M-A-M   J-J-A   S-O-N  metANN
1964   19.9   20.9   20.9   20.7   18.5   17.1   16.8   18.9   20.7   19.5   19.1   19.8    20.3    20.0    17.6    19.8   19.43
1965   19.6   20.4   19.8   19.8   19.4   17.0   17.7   19.9   22.0   19.6   20.2   20.8    19.9    19.7    18.2    20.6   19.60
1966   20.4   20.3   20.4   19.5   18.5   17.3   17.3   19.3   20.7   21.1   20.2   20.7    20.5    19.5    18.0    20.7   19.65
1967   21.0   20.9   20.7   19.9   18.7   18.1   17.8   19.7   21.8   21.8   20.2   19.9    20.9    19.8    18.5    21.3   20.11
1968   20.9   18.8   20.7   19.7   17.2   16.1   16.6   18.5   20.0   21.2   21.1   19.7    19.9    19.2    17.1    20.8   19.23
1969   21.3   21.3   21.1   20.8   18.8   17.8   18.0   20.5   22.1   21.2   20.6   19.3    20.8    20.2    18.8    21.3   20.27
1970   20.2   20.3   20.8   19.7   19.4   18.8   17.4   18.7   21.0   20.8   20.7   21.2    19.9    20.0    18.3    20.8   19.76
1971   21.3   21.5   21.1   20.5   19.1   18.7   18.1   19.1   19.8   19.1   19.2   20.2    21.3    20.2    18.6    19.4   19.89
1972   20.9   20.5   21.0   19.5   19.1   18.7   18.9   20.8   21.3   21.2   21.1   21.1    20.5    19.9    19.5    21.2   20.27
1973   22.0   22.2   21.4   21.3   19.6   19.9   18.5   21.5   21.5   20.0   20.5   21.4    21.8    20.8    20.0    20.7   20.79
1974   20.8   21.0   18.9   20.5   19.0   18.0   17.1   17.5   22.3   20.9   21.0   20.2    21.1    19.5    17.5    21.4   19.87
1975   20.7   20.9   21.7   19.8   18.5   17.7   16.7   19.6   21.2   21.1   20.4   20.7    20.6    20.0    18.0    20.9   19.88
1976   21.2   20.5   20.7   20.6   19.4   18.6   18.1   18.6   18.1   20.5   20.4   20.2    20.8    20.2    18.4    19.7   19.78
1977   20.3   21.0   22.3   20.6   18.5   18.6   18.8   21.4   21.1   21.6   21.2   20.8    20.5    20.5    19.6    21.3   20.47
1978   21.3   20.5   20.4   19.9   19.2   17.4   18.1   19.0   20.5   21.2   20.2   20.2    20.9    19.8    18.2    20.6   19.88
1979   20.0   20.6   21.2   20.2   19.2   17.0   18.0   20.4   21.0   22.0   20.6   21.0    20.3    20.2    18.5    21.2   20.03
1980   20.2   19.9   21.1   19.9   19.3   18.1   18.7   20.8   21.2   22.5   20.5   20.3    20.4    20.1    19.2    21.4   20.27
1981   20.5   21.7   21.4   20.2   18.6   17.5   16.7   19.4   22.1   20.2   20.4   20.6    20.8    20.1    17.9    20.9   19.92
1982   19.8   21.2   20.8   19.4   18.3   19.1   18.6   20.0   21.0   21.4   21.8   20.6    20.5    19.5    19.2    21.4   20.17
1983   20.0   21.0   20.6   20.9   20.0   19.3   19.5   19.9   22.1   20.3   20.1   19.8    20.5    20.5    19.6    20.8   20.36
1984   21.4   21.6   21.3   20.5   20.7   19.0   18.7   19.8   19.9   21.5   21.5   21.3    20.9    20.8    19.2    21.0   20.47
1985   19.0   21.8   21.2   21.5   20.0   17.3   17.4   20.3   21.5   21.0   21.0   20.8    20.7    20.9    18.3    21.2   20.27
1986   21.0   21.2   21.5   21.1   20.8   19.0   18.5   20.4   20.8   21.8   21.3   21.4    21.0    21.1    19.3    21.3   20.68
1987   22.1   21.5   20.9   21.2   20.2   19.1   19.6   21.4   22.4   22.8   21.0   20.5    21.7    20.8    20.0    22.1   21.13
1988   21.8  999.9   21.2   21.3   20.9   18.0   17.2   19.1   22.5   21.6   20.8   20.8    21.2    21.1    18.1    21.6   20.52
1989   21.2   21.0   21.1   21.7   19.4  999.9   17.9   19.5   21.6   21.2   21.1   20.3    21.0    20.7    18.4    21.3   20.36
1990   21.6   21.0   22.0   21.6   19.7   18.6   18.5   19.0   20.6   22.1   21.9   21.7    21.0    21.1    18.7    21.5   20.57
1991   20.7   21.0   20.7   20.7   19.2   18.9   18.1   19.3   20.7   21.8   20.8   21.0    21.1    20.2    18.8    21.1   20.30
1992   20.4   19.8   20.7   20.9   20.5   18.3   18.5   19.9   20.1   20.8   20.3   19.9    20.4    20.7    18.9    20.4   20.10
1993   21.5   20.4   22.3   21.3   19.2   18.5   19.4   20.4   22.2   22.0   21.9   20.9    20.6    20.9    19.4    22.0   20.75
1994   21.1   21.7   20.8   21.0   20.4   18.3   18.0   20.4   23.1   23.5   22.0   21.2    21.2    20.7    18.9    22.9   20.93
1995   21.8   21.5   21.9   21.0   20.3   18.6   19.1   21.3   22.3   22.8   21.2   21.1    21.5    21.1    19.7    22.1   21.08
1996   22.3   22.5   21.7   21.0   20.2   18.2   18.9   20.5   22.1   22.4   20.9   21.5    22.0    21.0    19.2    21.8   20.98
1997   20.5   21.7   20.2   20.1   18.7   18.4   18.4   20.4   23.3   23.5   22.8   21.8    21.2    19.7    19.1    23.2   20.79
1998   22.2   23.0   22.9   23.0   20.5   19.4   19.7   22.3   23.9   22.6   21.1   21.5    22.3    22.1    20.5    22.5   21.87
1999   22.0   22.4   21.7   21.5   20.1   20.0   19.8   19.8   22.3   22.1   20.9   21.0    22.0    21.1    19.9    21.8   21.18
2000   21.5  999.9   21.2   21.0   20.3   19.2   18.9   21.4   21.2   23.2   20.6   21.5    21.3    20.8    19.8    21.7   20.92
2001   22.0   22.4   21.3   21.8   20.7   19.3   19.7   19.3   21.8   21.1   21.3   21.5    22.0    21.3    19.4    21.4   21.02
2002   21.7   21.5   22.3   22.1   20.9   19.3   20.0   21.5   21.9   24.6   22.4   22.3    21.6    21.8    20.3    23.0   21.64
2003   21.8   22.3   21.1   21.8   19.7   19.6   21.8   20.8   22.4   22.4   21.6   23.0    22.1    20.9    20.7    22.1   21.47
2004   21.2   21.3  999.9   21.1   20.6   18.5   18.1   20.5   23.5   23.0   22.0   21.7    21.8    21.2    19.0    22.8   21.22
